Site,Last seen,Available,is italian?,Comments,Screenshot,SECTOR ATTACKED,ATTACK GOAL
http://extensionwebstore-kyc.ddnss.eu/FMfcgzGtxSvtnDMJWSGhxLTztxLkJkMW/FMfcgzGtxSxDgR/f42f9/,2025-01-20 11:44:06,S,s,METAMASK (conferma frase di recupero),2.png,SHIPPING/LOGISTICS,CRYPTO WALLET THEFT
http://extensionwebstore-kyc.ddnss.eu/FMfcgzGtxSvtnDMJWSGhxLTztxLkJkMW/FMfcgzGtxSxDgR/51c6a,2025-01-20 11:44:06,S,s,METAMASK (conferma frase di recupero),3.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
https://aakash-c07.github.io/NETFLIX-PROJECT,2025-01-20 11:44:06,S,s,NETFLIX (recaptcha),4.png,ENTERTAINMENT,DATA THEFT
http://extensionwebstore-kyc.ddnss.eu/FMfcgzGtxSvtnDMJWSGhxLTztxLkJkMW/FMfcgzGtxSxDgR/1035c/,2025-01-20 11:44:06,S,s,METAMASK (conferma frase di recupero),5.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
http://extensionwebstore-kyc.ddnss.eu/FMfcgzGtxSvtnDMJWSGhxLTztxLkJkMW/FMfcgzGtxSxDgR/922e6/,2025-01-20 11:44:06,S,s,METAMASK (conferma frase di recupero),6.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
http://extensionwebstore-kyc.ddnss.eu/FMfcgzGtxSvtnDMJWSGhxLTztxLkJkMW/FMfcgzGtxSxDgR/5d10a/,2025-01-20 11:44:06,S,s,METAMASK (conferma frase di recupero),7.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
http://extensionwebstore-kyc.ddnss.eu/FMfcgzGtxSvtnDMJWSGhxLTztxLkJkMW/FMfcgzGtxSxDgR/892a3,2025-01-20 11:44:06,S,s,METAMASK (conferma frase di recupero),8.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
http://extensionwebstore-kyc.ddnss.eu/FMfcgzGtxSvtnDMJWSGhxLTztxLkJkMW/FMfcgzGtxSxDgR/8a3b8/,2025-01-20 11:44:06,S,s,METAMASK (conferma frase di recupero),9.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
http://extensionwebstore-kyc.ddnss.eu/FMfcgzGtxSvtnDMJWSGhxLTztxLkJkMW/FMfcgzGtxSxDgR/76e20,2025-01-20 11:44:06,S,s,METAMASK (conferma frase di recupero),10.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
https://www.itauverano.uy/punta-del-este,2025-01-20 11:44:06,S,s,METAMASK (conferma frase di recupero),11.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
http://patilshrikrushna07.github.io/Netflix-Website-landing-page-clone.git.io/,2025-01-20 11:44:06,S,s,METAMASK (conferma frase di recupero),12.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
http://extensionwebstore-kyc.ddnss.eu/FMfcgzGtxSvtnDMJWSGhxLTztxLkJkMW/FMfcgzGtxSxDgR/51c6a/,2025-01-20 11:44:06,S,s,METAMASK (conferma frase di recupero),13.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
http://extensionwebstore-kyc.ddnss.eu/FMfcgzGtxSvtnDMJWSGhxLTztxLkJkMW/FMfcgzGtxSxDgR/291b8/,2025-01-20 11:44:06,S,s,METAMASK (conferma frase di recupero),14.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
http://extensionwebstore-kyc.ddnss.eu/FMfcgzGtxSvtnDMJWSGhxLTztxLkJkMW/FMfcgzGtxSxDgR/9cfb1/,2025-01-20 11:44:06,S,s,METAMASK (conferma frase di recupero),15.png,CRYPTOCURRENCY,CRYPTO WALLET THEFT
http://wap.bet365vip07.cc,2025-01-21 10:23:12,S,s,DHL (elaborazione pagamento),16.png,SHIPPING/LOGISTICS,DATA THEFT
http://faceit-verification.ru/ecfqmk77ytlx.html,2025-01-23 08:54:08,S,s,STEAM (login),17.png,ENTERTAINMENT,ACCOUNT THEFT
https://faceit-verifu.ru/ecfqmk77ytlx.html,2025-01-23 08:54:23,S,s,STEAM (login),18.png,ENTERTAINMENT,ACCOUNT THEFT
https://proxysteam.xeiu.top,2025-01-23 08:57:59,S,s,STEAM (pagina iniziale ),19.png,ENTERTAINMENT,ACCOUNT THEFT
https://proxysteam.xeiu.top/,2025-01-23 09:10:17,S,s,STEAM (pagina di benvenuto),20.png,ENTERTAINMENT,ACCOUNT THEFT
https://uspservicesl.blogspot.sk/,2025-01-23 09:10:36,S,s,STEAM (condividi un contenuto),21.png,ENTERTAINMENT,ACCOUNT THEFT
http://154-213-187-105.cprapid.com/app,2025-01-23 13:06:30,S,s,DPDgroup (consegna pacco),22.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
http://154-213-187-105.cprapid.com/app/update.php?pm0nqlzd3891fh06afim,2025-01-23 13:09:43,S,s,DPDgroup (consegna pacco),23.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
https://skunero.za.com/,2025-01-23 13:11:04,S,s,UNICREDIT (accesso anomalo),24.png,BANKING/FINANCE,ACCOUNT THEFT
https://is.kighxlf9.sa.com,2025-01-23 22:04:13,S,s,Hype(verifica dati),25.png,BANKING/FINANCE,ACCOUNT THEFT
http://154-213-187-105.cprapid.com/app/,2025-01-24 08:29:37,S,s,DPD (segui il mio pacchetto),26.png,SHIPPING/LOGISTICS,BANKING DATA THEFT
https://www.dropbox.com/scl/fi/0l35n2fz100wh6c3rc790/Kindly-Click-Belo...,2025-01-24 10:51:09,S,s,doprbox_kindly_verifica identità,27.png,ENTERTAINMENT,ACCOUNT THEFT
http://netflix-seven-gamma.vercel.app,2025-02-03 10:52:54,S,s,Netflix (accedi account),28.png,ENTERTAINMENT,ACCOUNT THEFT
https://store.redeemwalletcode.com/redeemwalletcode/gift/228063012,2025-02-03 10:53:18,S,s,Steam (carta regalo),29.png,ENTERTAINMENT,ACCOUNT THEFT
https://steam.suzhouren.cn,2025-02-03 10:56:34,S,s,Steam (accedi),30.png,ENTERTAINMENT,ACCOUNT THEFT
https://check-payout-netflix.com/how/calcul.php,2025-02-03 10:58:26,S,s,NETFLIX (recptcha),31.png,ENTERTAINMENT,ACCOUNT THEFT
http://supplieradvisor.ciamlogin.com/3159c7b1-0c6d-42f1-9929-f2bd2daef8bf/oauth2/v2.0/authorize/,2025-02-03 11:00:01,S,s,Microsoft (accedi),32.png,EMAIL SERVICES,ACCOUNT THEFT
